Category,Material,Weight,CarbonEmission
Clothing,Polyester,77,10.150489078110594
Food,Processed Foods,25,19.336103086453335
Food,Vegetables,66,0.9993797194270595
Automobile,Electric,92,2.1424511143388996
Clothing,Silk,89,6.174833011991471
Clothing,Nylon,97,8.735343166762044
Electronics,Laptop,2,25.85140209237883
Food,Meat,14,25.593101257968385
Food,Vegetables,97,2.935678393147461
Clothing,Polyester,28,9.470239796232962
Automobile,Diesel,81,19.377300480179407
Automobile,Electric,48,3.2710617487422633
Automobile,Hybrid,86,11.353872374165412
Electronics,Television,5,29.680942978933658
Food,Grains,4,4.3494151584431435
Clothing,Cotton,52,3.8881198819530796
Automobile,Hybrid,59,10.275635157887407
Clothing,Silk,57,6.926456358620322
Food,Processed Foods,46,21.223170950591456
Electronics,Television,89,29.729796681322462
Electronics,Smartwatch,47,9.841992101421011
Electronics,Smartphone,23,17.539257791210893
Electronics,Tablet,12,17.2590451555403
Automobile,Petrol,27,14.528961694381676
Clothing,Silk,54,6.341151974816644
Food,Meat,53,25.21101746720262
Clothing,Cotton,92,5.603441225038131
Clothing,Nylon,43,9.449774038488734
Food,Grains,15,5.134984720819689
Clothing,Polyester,27,7.380254895910255
Automobile,Electric,51,5.314658566673509
Clothing,Polyester,78,10.467794753263151
Food,Meat,59,24.024020191708335
Automobile,Diesel,10,19.501593377293553
Food,Grains,33,5.267050265869258
Food,Processed Foods,62,22.29889812361925
Food,Dairy,34,12.005574045639953
Clothing,Cotton,53,4.419121865976485
Electronics,Smartwatch,57,10.852246489030268
Automobile,Hybrid,30,9.926388884208095
Clothing,Cotton,14,3.956103591765165
Clothing,Wool,90,6.449336568933868
Electronics,Laptop,64,24.243649254715695
Electronics,Smartwatch,68,10.725766623898693
Clothing,Wool,58,9.403958738659293
Food,Vegetables,92,1.4362335578769647
Electronics,Laptop,78,23.80212210741115
Electronics,Television,15,27.52835549987271
Automobile,Hybrid,13,8.679766792979358
Electronics,Laptop,86,25.85135426460051
Automobile,Hybrid,73,9.950520447216801
Electronics,Smartwatch,5,10.21686103698294
Clothing,Wool,27,7.672337853402232
Electronics,Television,60,29.68152148934966
Electronics,Tablet,86,21.523124077269657
Clothing,Wool,88,7.056943191532738
Electronics,Smartphone,51,15.233465796480242
Electronics,Smartphone,97,14.51328550395725
Electronics,Tablet,75,20.907871947242427
Clothing,Wool,32,7.992619850055427
Electronics,Laptop,39,23.93873736705341
Automobile,Electric,64,5.244806606010563
Clothing,Polyester,86,9.101792060544321
Food,Dairy,59,9.341101578023798
Electronics,Television,68,31.509771312459623
Automobile,Petrol,92,14.995437171009703
Clothing,Silk,9,6.15242086225926
Electronics,Smartwatch,90,10.180530841805432
Food,Meat,46,24.0595862254321
Food,Meat,72,25.098745777637333
Electronics,Tablet,75,20.17396632916957
Electronics,Laptop,44,24.297448882879834
Food,Vegetables,63,2.0006991175571747
Food,Processed Foods,18,18.06632169889244
Clothing,Cotton,90,6.119423611561837
Automobile,Petrol,19,15.310907565598004
Food,Vegetables,34,1.2221833124091246
Clothing,Nylon,49,7.216748937834476
Automobile,Hybrid,6,10.457676454428839
Automobile,Diesel,10,20.52460900063051
Electronics,Smartphone,5,14.436741388539637
Food,Processed Foods,68,20.984322398476582
Clothing,Wool,44,7.84666354248386
Electronics,Television,7,30.91617126560462
Food,Dairy,87,9.101200091757535
Automobile,Hybrid,47,10.217206477893065
Clothing,Silk,72,6.653048311049761
Clothing,Silk,42,4.556516648303761
Automobile,Electric,57,2.3199956658820575
Food,Dairy,91,9.090366102510028
Automobile,Electric,22,1.132734807408252
Clothing,Cotton,60,4.221617992909106
Automobile,Petrol,69,14.985719452294905
Food,Meat,67,24.869654854012794
Electronics,Smartwatch,45,9.61446176003209
Automobile,Electric,68,2.6085981879181683
Automobile,Petrol,99,16.30547880715433
Automobile,Diesel,99,19.979098406035853
Electronics,Smartwatch,97,10.109394794604892
Clothing,Polyester,71,8.124323227793482
Electronics,Smartphone,75,13.628410620276876
Electronics,Television,38,27.673648286500224
Clothing,Nylon,67,9.214093744130205
Clothing,Polyester,62,11.371862133549776
Food,Dairy,33,10.179036796548965
Clothing,Nylon,86,8.144071082170631
Automobile,Petrol,12,16.552859775839327
Food,Grains,14,3.5948400776355403
Food,Vegetables,51,-1.568205299359882
Automobile,Diesel,33,22.113112156958202
Clothing,Silk,8,7.209381970686634
Automobile,Petrol,99,16.123541781691518
Automobile,Electric,63,4.655461625378921
Automobile,Petrol,91,16.475356216949553
Clothing,Polyester,66,8.533032114820474
Food,Grains,90,4.738972746753205
Electronics,Laptop,25,23.806739884361573
Automobile,Hybrid,1,8.895778211452868
Clothing,Cotton,2,3.6220606961775177
Electronics,Laptop,27,24.764681258092747
Clothing,Wool,3,9.706604953678461
Electronics,Smartwatch,90,12.538691101737486
Clothing,Cotton,64,3.575251813786543
Automobile,Diesel,69,20.010233061019587
Electronics,Smartphone,88,15.12804106855846
Clothing,Nylon,99,9.606129363099084
Clothing,Cotton,87,6.5792128155073915
Food,Vegetables,19,1.605417681763405
Food,Dairy,73,12.298468861734833
Food,Meat,2,26.04900922583689
Food,Meat,5,25.60600995134564
Food,Meat,24,25.166415148762887
Clothing,Silk,68,5.2488205753360715
Food,Vegetables,22,1.3017839716846475
Automobile,Electric,47,2.736594155132727
Automobile,Hybrid,56,11.831458765854354
Food,Meat,87,24.664284927113428
Electronics,Tablet,77,20.0107981648097
Food,Grains,70,6.062209850913712
Clothing,Wool,56,8.102347682549667
Food,Vegetables,88,3.038826145111929
Electronics,Television,27,29.967669749074886
Clothing,Nylon,61,11.783938046489837
Electronics,Laptop,52,24.45272016366248
Electronics,Laptop,93,25.076048039896385
Clothing,Silk,99,7.1026874654627115
Clothing,Nylon,60,9.515047686306048
Clothing,Nylon,69,11.720169166589619
Electronics,Smartwatch,6,10.326423365070715
Clothing,Wool,96,8.068562974806028
Food,Grains,21,5.6105857452838235
Automobile,Diesel,33,18.762184501173152
Clothing,Silk,24,6.920666715713072
Automobile,Electric,42,3.5956436518043216
Clothing,Silk,22,5.246263835642511
Clothing,Wool,53,8.339820964186643
Food,Dairy,35,12.302911897723114
Food,Grains,72,4.929834288541353
Automobile,Petrol,42,16.81366657587891
Clothing,Cotton,83,5.318902184689383
Food,Dairy,54,9.651986913703162
Automobile,Diesel,58,18.28357555405603
Automobile,Electric,47,2.234490634192661
Clothing,Nylon,92,9.758969220493267
Food,Vegetables,1,2.1582559809533675
Clothing,Wool,93,7.433702270397228
Electronics,Laptop,5,24.51135991461192
Clothing,Wool,17,7.310805789535755
Automobile,Electric,94,3.438022597421675
Electronics,Smartwatch,47,9.052658620057876
Clothing,Wool,2,8.301547342333613
Clothing,Polyester,62,11.1797163447007
Clothing,Wool,19,8.87358941563538
Automobile,Electric,94,3.443819428146228
Electronics,Television,25,28.78949884093063
Automobile,Hybrid,18,8.286865470909122
Clothing,Silk,20,6.471707291526979
Food,Processed Foods,68,19.700261423390796
Automobile,Petrol,61,15.324166352488442
Food,Processed Foods,74,20.49245126400815
Clothing,Cotton,60,4.296656198292593
Clothing,Polyester,60,10.085923471630814
Food,Meat,98,22.83012231295914
Clothing,Silk,89,6.205650134006671
Electronics,Television,22,29.84432276460792
Electronics,Tablet,70,20.941284578060475
Electronics,Smartwatch,52,9.57311893005258
Food,Grains,49,3.6806521108625945
Electronics,Smartphone,51,14.127896234596442
Electronics,Television,51,28.991913689082597
Automobile,Diesel,96,20.547097381170037
Automobile,Diesel,36,20.551737010465075
Clothing,Wool,27,7.493356780368476
Electronics,Smartwatch,92,10.442116665313472
Electronics,Tablet,62,19.925492353468826
Clothing,Silk,30,5.922898290585896
Automobile,Petrol,86,15.021003841632758
Food,Dairy,73,8.954087331142901
Automobile,Electric,90,3.840005376622429
Clothing,Cotton,49,2.560894184943977
Automobile,Petrol,7,16.357880788099987
Electronics,Tablet,94,17.72204958218944
Food,Vegetables,96,2.0139292919129463
Food,Vegetables,56,1.9758749128899966
Electronics,Smartphone,95,15.319537578868715
Automobile,Diesel,64,19.289872042072517
Food,Dairy,36,8.768041874253978
Automobile,Electric,58,2.5872383868098936
Food,Vegetables,38,0.7100391002589461
Food,Grains,79,3.9189434595917376
Electronics,Smartwatch,36,10.718098548251684
Electronics,Television,97,31.510803218114525
Food,Processed Foods,6,20.515272852986765
Clothing,Cotton,4,4.590948098276069
Automobile,Diesel,16,19.98055785910045
Food,Processed Foods,88,22.309722755406188
Food,Vegetables,54,1.9933465453687627
Automobile,Diesel,90,20.884990467186665
Clothing,Polyester,52,9.886578748653605
Automobile,Electric,67,2.5370745779363517
Electronics,Smartwatch,31,8.658554842200303
Food,Grains,62,4.773754780991323
Clothing,Cotton,89,3.086719755342202
Electronics,Laptop,61,25.050842569136154
Clothing,Silk,82,6.4819791390028945
Clothing,Nylon,20,10.330881327972085
Food,Dairy,62,9.519877410203707
Clothing,Wool,3,6.945395530533163
Food,Grains,60,5.501033343517345
Automobile,Diesel,82,20.117327383308783
Food,Grains,81,6.2862686134046015
Electronics,Smartphone,23,15.193278061849385
Food,Dairy,53,8.667255529211715
Electronics,Smartphone,54,14.57396766143558
Electronics,Smartphone,3,16.179297184063827
Electronics,Laptop,88,26.366874267444526
Automobile,Electric,13,2.8928055248388738
Automobile,Electric,16,3.4223137616640646
Clothing,Cotton,3,5.417011109663175
Electronics,Television,66,28.38658934444921
Food,Meat,16,26.646397242679974
Automobile,Hybrid,58,9.243093909488405
Electronics,Television,36,30.970077777913726
Food,Processed Foods,10,19.733682671477297
Food,Processed Foods,5,18.138651096323176
Food,Vegetables,18,3.03999243982983
Electronics,Tablet,5,21.00629280921444
Electronics,Laptop,56,25.997115221897822
Clothing,Cotton,71,6.130228193897037
Food,Processed Foods,93,19.316568209869878
Automobile,Petrol,31,16.06947795204087
Electronics,Television,67,31.432481917452506
Electronics,Tablet,64,18.086222419731644
Automobile,Diesel,61,20.68684851276597
Clothing,Cotton,54,2.8216657531762914
Food,Dairy,61,8.219443316789517
Clothing,Wool,97,8.076894948584572
Food,Meat,14,25.869740440228412
Clothing,Nylon,33,8.403102668437247
Electronics,Smartphone,98,15.80265225560743
Electronics,Television,4,32.07540079864544
Clothing,Wool,92,7.807639035218878
Automobile,Electric,8,2.284696290740032
Food,Meat,51,23.777872191108056
Electronics,Television,72,27.961875464822146
Electronics,Smartphone,99,15.218683092276141
Clothing,Polyester,41,9.103664816870698
Electronics,Smartwatch,2,10.027264704818878
Clothing,Silk,2,7.000485607762105
Clothing,Cotton,22,5.7674347291529084
Food,Dairy,37,10.195845255097682
Food,Processed Foods,73,17.754332801006164
Food,Vegetables,92,0.8934740912583297
Clothing,Cotton,4,4.646883347992932
Clothing,Polyester,30,10.513267433113356
Food,Vegetables,83,1.5519728601997695
Electronics,Smartwatch,21,10.523952667107794
Clothing,Wool,68,7.785675516743807
Electronics,Television,60,29.8801490806344
Clothing,Nylon,24,10.762937472303229
Clothing,Polyester,41,9.156580076640715
Food,Processed Foods,92,19.121628812907215
Clothing,Cotton,95,3.9909146571348924
Food,Grains,82,6.0435459092865536
Food,Meat,7,24.69045356068601
Electronics,Television,78,27.710938743067004
Food,Vegetables,49,-0.12409807433017361
Automobile,Petrol,9,15.613841341475425
Food,Processed Foods,35,20.795906504847473
Automobile,Electric,19,2.513782714246876
Automobile,Diesel,21,20.581314134035726
Electronics,Smartphone,79,15.593742175841212
Automobile,Electric,76,1.8164268320554622
Food,Dairy,85,10.25713813009397
Automobile,Hybrid,98,10.27872303497066
Electronics,Laptop,51,25.3529599755389
Automobile,Diesel,37,19.797807347566106
Clothing,Silk,30,6.537960003691996
Food,Meat,81,26.34604420746472
Clothing,Cotton,35,5.373118914729418
Automobile,Diesel,12,21.586016816145353
Electronics,Television,40,30.947616937661408
Food,Grains,40,4.5212513783365225
Electronics,Smartwatch,11,9.888027479405382
Electronics,Smartwatch,89,12.64357158339855
Clothing,Cotton,47,2.8603793439237606
Food,Grains,15,3.3390390664840086
Automobile,Diesel,24,20.12609482782403
Automobile,Petrol,83,14.146740057962024
Electronics,Laptop,15,22.543252943136523
Automobile,Hybrid,39,10.768339454305003
Food,Dairy,76,10.71759157979305
Electronics,Tablet,38,20.764204388001907
Electronics,Smartwatch,12,9.394936924008096
Automobile,Diesel,67,20.070972415639748
Electronics,Smartphone,65,14.328976088849304
Food,Meat,73,25.17086543812794
Food,Processed Foods,87,21.19418196255107
Automobile,Petrol,85,17.14320518811389
Electronics,Tablet,42,19.124381746615242
Clothing,Polyester,92,10.175553293954833
Electronics,Smartwatch,29,11.886828112124237
Electronics,Laptop,14,23.484808937801446
Food,Dairy,38,9.021627222384968
Food,Grains,48,6.053152853332904
Food,Grains,59,5.81848473463854
Clothing,Wool,2,7.5673907194519865
Food,Meat,35,25.813863908123604
Electronics,Smartwatch,21,9.874213079900352
Food,Meat,37,26.246694736529587
Electronics,Laptop,74,23.577746290402327
Electronics,Television,99,30.0865897874729
Food,Vegetables,65,3.2715550949941585
Automobile,Petrol,53,15.624119817052154
Electronics,Tablet,75,20.771638149301335
Clothing,Cotton,39,2.973280384269908
Automobile,Petrol,38,16.154354338408925
Clothing,Silk,8,6.4244862440564505
Clothing,Polyester,14,10.736122350669257
Food,Processed Foods,71,20.166452208213055
Electronics,Smartphone,81,14.985281741365064
Food,Grains,39,4.919584226291008
Automobile,Hybrid,41,9.124921177131883
Food,Processed Foods,40,20.334456789987026
Clothing,Wool,70,6.5981489372077196
Food,Vegetables,45,3.0861055267696553
Food,Grains,39,4.828086628928242
Electronics,Smartwatch,8,12.505689209641972
Food,Vegetables,70,0.6808549547980551
Clothing,Polyester,53,10.460816300148638
Clothing,Nylon,54,9.630074938601007
Clothing,Cotton,33,5.241962271566035
Food,Vegetables,34,0.7049212279363839
Automobile,Diesel,92,20.647162696787042
Electronics,Tablet,10,19.592539862364735
Automobile,Electric,96,3.8317085769758474
Electronics,Tablet,57,20.285980166188285
Electronics,Television,95,30.169729284390375
Electronics,Tablet,37,20.76425219860902
Clothing,Silk,39,5.085309068738723
Automobile,Electric,1,3.8657551941701214
Electronics,Tablet,26,18.617200269035663
Clothing,Nylon,14,8.684730755359654
Automobile,Petrol,12,15.853974711067856
Automobile,Hybrid,29,8.507398635584307
Electronics,Smartphone,38,16.610578463223302
Food,Processed Foods,88,18.792604168353627
Food,Processed Foods,98,19.584132658588214
Electronics,Laptop,18,26.52378741019381
Clothing,Silk,48,5.754611883997129
Electronics,Tablet,68,20.27975734978671
Electronics,Laptop,86,23.771945980876374
Automobile,Petrol,53,15.62834550926428
Electronics,Laptop,23,25.36659824609685
Clothing,Polyester,23,9.888012179493058
Clothing,Silk,33,6.94053558496201
Electronics,Laptop,99,24.37963627746445
Clothing,Polyester,88,10.930584400771101
Food,Meat,34,25.712998430172387
Automobile,Electric,86,3.2289704322304376
Automobile,Hybrid,49,9.568057798391628
Electronics,Laptop,90,24.345626653886985
Clothing,Polyester,5,10.677767409673342
Clothing,Nylon,64,8.968813201833155
Automobile,Petrol,76,15.404582895117525
Electronics,Smartwatch,5,7.427068758615656
Automobile,Hybrid,33,11.727747627434258
Food,Grains,55,5.256161458433825
